Connecting to host 10.45.1.7, port 5361
[  5] local 10.45.1.1 port 35414 connected to 10.45.1.7 port 5361
[  5] 155.00-156.00 sec  0.00 Bytes  0.00 bits/sec    0   1.32 MBytes       
[  5] 156.00-157.00 sec  1.25 MBytes  10.5 Mbits/sec    0   2.02 MBytes       
[  5] 157.00-158.00 sec  1.23 MBytes  10.3 Mbits/sec    0   2.06 MBytes       
[  5] 158.00-159.00 sec  0.00 Bytes  0.00 bits/sec    0   2.11 MBytes       
[  5] 159.00-160.00 sec  1.21 MBytes  10.1 Mbits/sec    0   2.16 MBytes       
[  5] 160.00-161.00 sec  0.00 Bytes  0.00 bits/sec    0   2.22 MBytes       
[  5] 161.00-162.00 sec  1.16 MBytes  9.77 Mbits/sec    0   2.27 MBytes       
[  5] 162.00-163.00 sec  0.00 Bytes  0.00 bits/sec    0   2.31 MBytes       
[  5] 163.00-164.00 sec  1.14 MBytes  9.55 Mbits/sec    0   2.34 MBytes       
[  5] 164.00-165.00 sec  1.12 MBytes  9.41 Mbits/sec    0   2.37 MBytes       
[  5] 165.00-166.00 sec  0.00 Bytes  0.00 bits/sec    0   2.39 MBytes       
[  5] 166.00-167.00 sec  1.09 MBytes  9.13 Mbits/sec    0   2.40 MBytes       
[  5] 167.00-168.00 sec  0.00 Bytes  0.00 bits/sec    0   2.42 MBytes       
[  5] 168.00-169.00 sec  1.10 MBytes  9.23 Mbits/sec    0   2.42 MBytes       
[  5] 169.00-170.00 sec  1.11 MBytes  9.32 Mbits/sec    0   2.44 MBytes       
[  5] 170.00-171.00 sec  0.00 Bytes  0.00 bits/sec    0   2.46 MBytes       
[  5] 171.00-172.00 sec  1.08 MBytes  9.03 Mbits/sec    0   2.48 MBytes       
[  5] 172.00-173.00 sec  0.00 Bytes  0.00 bits/sec    0   2.51 MBytes       
[  5] 173.00-174.00 sec  1.05 MBytes  8.84 Mbits/sec    0   2.56 MBytes       
[  5] 174.00-175.00 sec  1.02 MBytes  8.56 Mbits/sec    0   2.62 MBytes       
[  5] 175.00-176.00 sec  0.00 Bytes  0.00 bits/sec    0   2.70 MBytes       
[  5] 176.00-177.00 sec   971 KBytes  7.95 Mbits/sec    0   2.78 MBytes       
[  5] 177.00-178.00 sec  1.12 MBytes  9.39 Mbits/sec    0   2.93 MBytes       
[  5] 178.00-179.00 sec  0.00 Bytes  0.00 bits/sec    0   3.08 MBytes       
[  5] 179.00-180.00 sec  1.22 MBytes  10.3 Mbits/sec    0   3.25 MBytes       
[  5] 180.00-181.00 sec  0.00 Bytes  0.00 bits/sec   89   2.04 MBytes       
[  5] 181.00-182.00 sec  0.00 Bytes  0.00 bits/sec  203   1.36 MBytes       
[  5] 182.00-183.00 sec  0.00 Bytes  0.00 bits/sec  247   1.78 MBytes       
[  5] 183.00-184.00 sec  1.25 MBytes  10.5 Mbits/sec    4   1.06 MBytes       
[  5] 184.00-185.00 sec  0.00 Bytes  0.00 bits/sec    0    366 KBytes       
[  5] 185.00-186.00 sec  2.50 MBytes  21.0 Mbits/sec    3   1.63 MBytes       
[  5] 186.00-187.00 sec  0.00 Bytes  0.00 bits/sec  189    731 KBytes       
[  5] 187.00-188.00 sec  1.25 MBytes  10.5 Mbits/sec  484    964 KBytes       
[  5] 188.00-189.00 sec  0.00 Bytes  0.00 bits/sec    0   1.15 MBytes       
[  5] 189.00-190.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.17 MBytes       
[  5] 190.00-191.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.22 MBytes       
[  5] 191.00-192.00 sec  0.00 Bytes  0.00 bits/sec    0   1.26 MBytes       
[  5] 192.00-193.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[  5] 193.00-194.00 sec  0.00 Bytes  0.00 bits/sec    0   1.33 MBytes       
[  5] 194.00-195.00 sec  0.00 Bytes  0.00 bits/sec    2   1.14 MBytes       
[  5] 195.00-196.00 sec  0.00 Bytes  0.00 bits/sec    0    953 KBytes       
[  5] 196.00-197.00 sec  2.50 MBytes  21.0 Mbits/sec    0    976 KBytes       
[  5] 197.00-198.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1021 KBytes       
[  5] 198.00-199.00 sec  0.00 Bytes  0.00 bits/sec    0   1.04 MBytes       
[  5] 199.00-200.00 sec  0.00 Bytes  0.00 bits/sec    0   1.06 MBytes       
[  5] 200.00-201.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.09 MBytes       
[  5] 201.00-202.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.11 MBytes       
[  5] 202.00-203.00 sec  0.00 Bytes  0.00 bits/sec    0   1.12 MBytes       
[  5] 203.00-204.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.12 MBytes       
[  5] 204.00-205.00 sec  0.00 Bytes  0.00 bits/sec    0   1.13 MBytes       
[  5] 205.00-206.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.13 MBytes       
[  5] 206.00-207.00 sec  0.00 Bytes  0.00 bits/sec    0   1.14 MBytes       
[  5] 207.00-208.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.16 MBytes       
[  5] 208.00-209.00 sec  0.00 Bytes  0.00 bits/sec    0   1.18 MBytes       
[  5] 209.00-210.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.22 MBytes       
[  5] 210.00-211.00 sec  0.00 Bytes  0.00 bits/sec    0   1.28 MBytes       
[  5] 211.00-212.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.35 MBytes       
